date,store_id,product_id,demand,price,promotion,temperature_f
2023-01-01,north,widget,84.07,18.0,1,70.0
2023-01-01,north,gadget,63.71,22.0,0,82.6
2023-01-01,south,widget,62.25,24.0,0,83.6
2023-01-01,south,gadget,67.45,26.0,0,72.1
2023-01-01,west,widget,72.78,28.0,0,58.6
2023-01-02,north,widget,77.8,18.06,1,70.3
2023-01-02,north,gadget,60.95,22.06,0,82.8
2023-01-02,south,widget,61.29,24.06,0,83.5
2023-01-02,south,gadget,62.39,26.06,0,71.9
2023-01-02,west,widget,68.35,28.06,0,58.5
2023-01-03,north,widget,84.31,18.12,1,70.5
2023-01-03,north,gadget,59.93,22.12,0,82.9
2023-01-03,south,widget,71.41,24.12,0,83.4
2023-01-03,south,gadget,67.06,26.12,0,71.6
2023-01-03,west,widget,73.65,28.12,0,58.3
2023-01-04,north,widget,56.77,20.18,0,70.8
2023-01-04,north,gadget,67.01,22.18,0,83.0
2023-01-04,south,widget,69.88,24.18,0,83.3
2023-01-04,south,gadget,68.52,26.18,0,71.3
2023-01-04,west,widget,68.82,28.18,0,58.2
2023-01-05,north,widget,58.34,20.23,0,71.0
2023-01-05,north,gadget,62.11,22.23,0,83.1
2023-01-05,south,widget,62.18,24.23,0,83.2
2023-01-05,south,gadget,67.39,26.23,0,71.1
2023-01-05,west,widget,70.06,28.23,0,58.0
2023-01-06,north,widget,67.85,20.29,0,71.3
2023-01-06,north,gadget,72.21,22.29,0,83.3
2023-01-06,south,widget,72.88,24.29,0,83.1
2023-01-06,south,gadget,72.39,26.29,0,70.8
2023-01-06,west,widget,82.18,28.29,0,57.8
2023-01-07,north,widget,62.46,20.35,0,71.5
2023-01-07,north,gadget,65.84,22.35,0,83.4
2023-01-07,south,widget,71.06,24.35,0,82.9
2023-01-07,south,gadget,75.15,26.35,0,70.6
2023-01-07,west,widget,82.02,28.35,0,57.7
2023-01-08,north,widget,54.85,20.4,0,71.8
2023-01-08,north,gadget,59.33,22.4,0,83.5
2023-01-08,south,widget,64.54,24.4,0,82.8
2023-01-08,south,gadget,68.36,26.4,0,70.3
2023-01-08,west,widget,69.93,28.4,0,57.6
2023-01-09,north,widget,52.21,20.45,0,72.1
2023-01-09,north,gadget,62.76,22.45,0,83.6
2023-01-09,south,widget,67.52,24.45,0,82.7
2023-01-09,south,gadget,66.72,26.45,0,70.1
2023-01-09,west,widget,72.04,28.45,0,57.4
2023-01-10,north,widget,59.75,20.51,0,72.3
2023-01-10,north,gadget,59.5,22.51,0,83.7
2023-01-10,south,widget,67.79,24.51,0,82.5
2023-01-10,south,gadget,63.04,26.51,0,69.8
2023-01-10,west,widget,67.2,28.51,0,57.3
2023-01-11,north,widget,60.29,20.55,0,72.6
2023-01-11,north,gadget,61.64,22.55,0,83.8
2023-01-11,south,widget,69.53,24.55,0,82.4
2023-01-11,south,gadget,68.58,26.55,0,69.5
2023-01-11,west,widget,73.85,28.55,0,57.1
2023-01-12,north,widget,56.99,20.6,0,72.8
2023-01-12,north,gadget,63.25,22.6,0,83.9
2023-01-12,south,widget,67.33,24.6,0,82.2
2023-01-12,south,gadget,65.09,26.6,0,69.3
2023-01-12,west,widget,68.99,28.6,0,57.0
2023-01-13,north,widget,68.63,20.65,0,73.1
2023-01-13,north,gadget,69.23,22.65,0,84.0
2023-01-13,south,widget,78.02,24.65,0,82.1
2023-01-13,south,gadget,73.08,26.65,0,69.0
2023-01-13,west,widget,73.25,28.65,0,56.9
2023-01-14,north,widget,65.16,20.69,0,73.3
2023-01-14,north,gadget,69.44,22.69,0,84.1
2023-01-14,south,widget,75.52,24.69,0,81.9
2023-01-14,south,gadget,75.08,26.69,0,68.8
2023-01-14,west,widget,80.28,28.69,0,56.8
2023-01-15,north,widget,60.99,20.73,0,73.6
2023-01-15,north,gadget,62.27,22.73,0,84.2
2023-01-15,south,widget,66.42,24.73,0,81.8
2023-01-15,south,gadget,71.59,26.73,0,68.5
2023-01-15,west,widget,74.61,28.73,0,56.6
2023-01-16,north,widget,57.42,20.77,0,73.8
2023-01-16,north,gadget,66.95,22.77,0,84.3
2023-01-16,south,widget,64.43,24.77,0,81.6
2023-01-16,south,gadget,68.57,26.77,0,68.3
2023-01-16,west,widget,100.6,26.77,1,56.5
2023-01-17,north,widget,58.13,20.81,0,74.1
2023-01-17,north,gadget,62.21,22.81,0,84.4
2023-01-17,south,widget,66.19,24.81,0,81.4
2023-01-17,south,gadget,72.06,26.81,0,68.0
2023-01-17,west,widget,95.32,26.81,1,56.4
2023-01-18,north,widget,58.43,20.84,0,74.3
2023-01-18,north,gadget,64.72,22.84,0,84.4
2023-01-18,south,widget,62.02,24.84,0,81.3
2023-01-18,south,gadget,66.1,26.84,0,67.7
2023-01-18,west,widget,97.59,26.84,1,56.3
2023-01-19,north,widget,55.57,20.87,0,74.6
2023-01-19,north,gadget,67.82,22.87,0,84.5
2023-01-19,south,widget,70.52,24.87,0,81.1
2023-01-19,south,gadget,74.65,26.87,0,67.5
2023-01-19,west,widget,78.31,28.87,0,56.2
2023-01-20,north,widget,67.97,20.9,0,74.8
